What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
35-44 years old,Latte,Skim milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
35-44 years old,Pourover,Oat milk,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Iced coffee,,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Regular drip coffee,Skim milk,,Chocolatey,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Latte,Flavored coffee creamer,Granulated Sugar,Sweet,Medium,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Regular drip coffee,"Whole milk, Oat milk",,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,Hispanic/Latino,,Student,None,Democrat
18-24 years old,Cold brew,Oat milk,Brown Sugar,Caramalized,Medium,Medium,Half caff,Non-binary,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
18-24 years old,Pourover,"Whole milk, Coffee creamer",Granulated Sugar,Bright,Somewhat strong,Light,Full caffeine,,,,,,,,
45-54 years old,Americano,Half and half,Raw Sugar (Turbinado),Fruity,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,"Whole milk, Half and half",,Caramalized,Medium,Medium,Half caff,Male,,Bachelor's degree,,,Employed full-time,,
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Student,None,Democrat
18-24 years old,Mocha,"Whole milk, Half and half",,Bright,Somewhat strong,Light,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Espresso,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Regular drip coffee,Oat milk,Raw Sugar (Turbinado),Caramalized,Medium,Medium,Half caff,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Cappuccino,,,Caramalized,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,,,,,,
18-24 years old,Mocha,Whole milk,,Full Bodied,Very strong,French,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,Coffee creamer,Stevia,Caramalized,Somewhat strong,Medium,Full caffeine,,,,,,,,
35-44 years old,Espresso,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,Whole milk,,Floral,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Latte,Whole milk,,Bold,Medium,Medium,Full caffeine,,,,,,,,
18-24 years old,,,,,,,,,,,,,,,
25-34 years old,Cortado,,,Floral,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,,,,,,,,,,,,,,,
35-44 years old,Espresso,,,Fruity,Medium,Nordic,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Chocolatey,Medium,Light,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Nutty,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,,,,,,,,,,,,
18-24 years old,Pourover,,,Sweet,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Iced coffee,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Cold brew,Oat milk,Stevia,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
25-34 years old,Regular drip coffee,,,,,,,,,,,,,,
45-54 years old,Mocha,Half and half,Granulated Sugar,Bright,Medium,Light,Full caffeine,,,,,,,,
>65 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Retired,2,Democrat
25-34 years old,Iced coffee,,,Caramalized,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Americano,,,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Regular drip coffee,Oat milk,"Artificial Sweeteners (e.g., Splenda)",,,,,,,,,,,,
25-34 years old,Americano,,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Chocolatey,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Americano,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,
35-44 years old,Cappuccino,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
55-64 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Medium,Full caffeine,,,,,,,,
45-54 years old,Regular drip coffee,Skim milk,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Democrat
18-24 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Cortado,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
25-34 years old,Americano,,,Floral,Somewhat light,Light,Full caffeine,Male,,Doctorate or professional degree,Hispanic/Latino,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,"Coffee creamer, Flavored coffee creamer",,Juicy,Somewhat strong,Medium,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Pourover,Almond milk,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,No affiliation
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,Medium,Light,Full caffeine,Male,,High school graduate,Hispanic/Latino,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Nutty,,Light,Full caffeine,,,,,,,,
35-44 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Fruity,Medium,Light,Decaf,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Other,,,Nutty,Somewhat strong,Light,Full caffeine,Male,,,,,,,
25-34 years old,Cold brew,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Full Bodied,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,Oat milk,,Fruity,Medium,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Fruity,Very strong,Light,Full caffeine,Male,,Less than high school,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Caramalized,Very strong,Medium,Full caffeine,Male,,Master's degree,Black/African American,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Very strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,Whole milk,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Cappuccino,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Latte,Whole milk,,Sweet,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Oat milk, Flavored coffee creamer",,Chocolatey,Medium,Medium,Full caffeine,Female,,High school graduate,White/Caucasian,,Employed part-time,None,No affiliation
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,,,,,,
45-54 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,,,,,,,,
18-24 years old,Espresso,,,Juicy,Somewhat strong,Nordic,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Decaf,Male,,Bachelor's degree,Asian/Pacific Islander,,Student,None,Democrat
25-34 years old,Cappuccino,,,Fruity,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
45-54 years old,Pourover,,,Bright,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
>65 years old,Latte,Almond milk,,Fruity,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,None,Democrat
45-54 years old,Regular drip coffee,,,Bold,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Medium,Light,Full caffeine,Male,,Bachelor's degree,Black/African American,,Employed full-time,None,No affiliation
35-44 years old,Regular drip coffee,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent
55-64 years old,Cortado,Whole milk,,Nutty,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Mocha,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Student,None,Independent
25-34 years old,Cortado,,,Caramalized,Medium,Italian,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Coffee creamer, Flavored coffee creamer, Half and half","Artificial Sweeteners (e.g., Splenda), Brown Sugar",Sweet,Somewhat light,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Republican
55-64 years old,Pourover,Oat milk,,Bold,Somewhat strong,Dark,Full caffeine,Female,,Master's degree,Hispanic/Latino,,Employed full-time,2,Democrat
35-44 years old,Espresso,,,Fruity,Medium,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Republican
35-44 years old,Pourover,,,Fruity,Somewhat light,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Democrat
35-44 years old,Other,,,Juicy,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Soy milk,,Sweet,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Floral,Somewhat light,Blonde,Full caffeine,Male,,,,,,,
55-64 years old,Cortado,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,,,,,,
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Cappuccino,Whole milk,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Espresso,Oat milk,,Sweet,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Some college or associate's degree,Asian/Pacific Islander,,Student,None,No affiliation
25-34 years old,Iced coffee,Oat milk,,Floral,Medium,Medium,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Independent
35-44 years old,Regular drip coffee,,,Bright,Somewhat strong,Medium,Half caff,Female,,,,,,,
18-24 years old,Latte,"Oat milk, Whole milk, Almond milk",,Fruity,Medium,Medium,Full caffeine,Female,,,,,,,
35-44 years old,Iced coffee,,,Fruity,Medium,Dark,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,Oat milk,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Iced coffee,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
45-54 years old,Cold brew,Oat milk,Stevia,Chocolatey,Somewhat strong,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Independent
18-24 years old,Espresso,,,Bold,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,,,
18-24 years old,Iced coffee,Half and half,"Artificial Sweeteners (e.g., Splenda)",Nutty,Somewhat light,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
25-34 years old,Latte,Half and half,,Bright,Somewhat light,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Pourover,Half and half,"Raw Sugar (Turbinado), Granulated Sugar",Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Floral,Medium,Nordic,Half caff,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
55-64 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,2,No affiliation
25-34 years old,Regular drip coffee,Half and half,,Chocolatey,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Cappuccino,Whole milk,,Caramalized,Medium,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,None,Democrat
45-54 years old,Latte,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Regular drip coffee,,,Caramalized,Medium,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Pourover,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,Whole milk,Granulated Sugar,Nutty,Somewhat strong,Medium,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Chocolatey,Somewhat strong,Dark,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Blended drink (e.g. Frappuccino),"Flavored coffee creamer, Half and half",Granulated Sugar,Caramalized,Somewhat strong,Dark,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Cappuccino,Half and half,,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,
35-44 years old,Americano,,,Chocolatey,Very strong,Light,Full caffeine,,,,,,,,
55-64 years old,Regular drip coffee,,Granulated Sugar,Caramalized,Somewhat strong,Medium,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Homemaker,3,
>65 years old,Regular drip coffee,Half and half,,Bold,Medium,Dark,Full caffeine,,,,,,,,
25-34 years old,Cortado,Skim milk,,Caramalized,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,Half and half,,Caramalized,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
